season,event_code,league,rank,school_chinese,school_english,score
2024,2024RMUC,RMUC,1,上海交通大学,Shanghai Jiao Tong University,21.82
2024,2024RMUC,RMUC,2,东北大学,Northeastern University,20.72
2024,2024RMUC,RMUC,3,华南理工大学,South China University of Technology,20.42
2024,2024RMUC,RMUC,4,哈尔滨工业大学,Harbin Institute of Technology,19.14
2024,2024RMUC,RMUC,5,深圳大学,Shenzhen University,19.02
2024,2024RMUC,RMUC,6,桂林电子科技大学,Guilin University of Electronic Technology,18.52
2024,2024RMUC,RMUC,7,大连交通大学,Dalian Jiaotong University,18.34
2024,2024RMUC,RMUC,8,浙江大学,Zhejiang University,18.32
2024,2024RMUC,RMUC,9,哈尔滨工业大学（深圳）,Harbin Institute of Technology (Shenzhen),17.02
2024,2024RMUC,RMUC,10,上海工程技术大学,Shanghai University Of Engineering Science,16.74
2024,2024RMUC,RMUC,11,华南农业大学,South China Agricultural University,16.44
2024,2024RMUC,RMUC,12,哈尔滨工程大学,Harbin Engineering University,16.22
2024,2024RMUC,RMUC,13,南方科技大学,Southern University of Science and Technology,16.2
2024,2024RMUC,RMUC,14,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,15.94
2024,2024RMUC,RMUC,15,南昌大学,Nanchang University,15.86
2024,2024RMUC,RMUC,16,广东工业大学,Guangdong University of Technology,15.65
2024,2024RMUC,RMUC,17,大连理工大学,Dalian University of Technology,15.1
2024,2024RMUC,RMUC,18,西安交通大学,Xi'an Jiaotong University,14.94
2024,2024RMUC,RMUC,19,东北林业大学,Northeast Forestry University,14.78
2024,2024RMUC,RMUC,20,哈尔滨工业大学（威海）,Harbin Institute of Technology (Weihai),14.58
2024,2024RMUC,RMUC,21,南京理工大学,Nanjing University of Science and Technology,14.56
2024,2024RMUC,RMUC,22,山东科技大学,Shandong University of Science and Technology,14.42
2024,2024RMUC,RMUC,23,西交利物浦大学,Xi'an Jiaotong-Liverpool University,14.26
2024,2024RMUC,RMUC,24,北京科技大学,University of Science and Technology Beijing,14.05
2024,2024RMUC,RMUC,25,国防科技大学,National University of Defense Technology,13.8
2024,2024RMUC,RMUC,26,武汉工程大学,Wuhan Institute of Technology,13.46
2024,2024RMUC,RMUC,27,华南师范大学,South China Normal University,13.44
2024,2024RMUC,RMUC,28,中国石油大学（华东）,China University of Petroleum (East China),13.32
2024,2024RMUC,RMUC,29,五邑大学,Wuyi University,13.3
2024,2024RMUC,RMUC,30,西安电子科技大学,Xidian University,12.96
2024,2024RMUC,RMUC,30,太原科技大学,Taiyuan University of Science and Technology,12.96
2024,2024RMUC,RMUC,32,中国矿业大学,China University of Mining and Technology,12.32
2024,2024RMUC,RMUC,32,广州城市理工学院,Guangzhou City Institute of Technology,12.32
2024,2024RMUC,RMUC,34,北京理工大学珠海学院,"Beijing Institute of Technology, Zhuhai",12.16
2024,2024RMUC,RMUC,35,湖北工业大学,Hubei University of Technology,11.75
2024,2024RMUC,RMUC,36,太原理工大学,Taiyuan University of Technology,11.68
2024,2024RMUC,RMUC,37,浙江纺织服装职业技术学院,Zhejiang Fashion Institute of Technology,11.39
2024,2024RMUC,RMUC,38,华中科技大学,Huazhong University of Science and Technology,11.36
2024,2024RMUC,RMUC,39,东南大学,Southeast University,11.2
2024,2024RMUC,RMUC,40,华北科技学院,North China Institute of Science & Technology,11.08
2024,2024RMUC,RMUC,41,中国石油大学（北京）,China University of Petroleum(Beijing),10.88
2024,2024RMUC,RMUC,42,桂林信息科技学院,Guilin Institute of Information Technology,10.77
2024,2024RMUC,RMUC,43,杭州电子科技大学,Hangzhou Dianzi University,10.76
2024,2024RMUC,RMUC,44,电子科技大学中山学院,Zhongshan College of University of Electronic Science and Technology of China,10.72
2024,2024RMUC,RMUC,45,西北工业大学,Northwestern Polytechnical University,10.28
2024,2024RMUC,RMUC,46,佛山大学,Foshan University,10.08
2024,2024RMUC,RMUC,47,南京航空航天大学金城学院,Nanhang Jincheng College,9.98
2024,2024RMUC,RMUC,48,太原工业学院,Taiyuan Institute of Technology,9.83
2024,2024RMUC,RMUC,49,辽宁科技大学,University of Science and Technology Liaoning,9.6
2024,2024RMUC,RMUC,49,中南大学,Central South University,9.6
2024,2024RMUC,RMUC,51,安徽信息工程学院,Anhui Institute of Information Engineering,9.55
2024,2024RMUC,RMUC,52,西南交通大学,Southwest Jiaotong University,9.46
2024,2024RMUC,RMUC,53,北京理工大学,Beijing Institute of Technology,9.45
2024,2024RMUC,RMUC,54,西南石油大学,Southwest Petroleum University,9.44
2024,2024RMUC,RMUC,55,天津大学,Tianjin University,9.03
2024,2024RMUC,RMUC,56,桂林理工大学,Guilin University of Technology,8.8
2024,2024RMUC,RMUC,57,长安大学,Chang'an University,8.55
2024,2024RMUC,RMUC,58,宁波工程学院,Ningbo University of Technology,8.38
2024,2024RMUC,RMUC,59,华北理工大学,North China University of Technology,8.32
