season,event_code,league,rank,school_chinese,school_english,score
2025,2025RMUC,RMUC,1,上海交通大学,Shanghai Jiao Tong University,22.88
2025,2025RMUC,RMUC,2,华南理工大学,South China University of Technology,21.78
2025,2025RMUC,RMUC,3,东北大学,Northeastern University,21.58
2025,2025RMUC,RMUC,4,浙江大学,Zhejiang University,19.88
2025,2025RMUC,RMUC,5,深圳大学,Shenzhen University,19.68
2025,2025RMUC,RMUC,6,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,18.86
2025,2025RMUC,RMUC,7,华南农业大学,South China Agricultural University,18.66
2025,2025RMUC,RMUC,8,桂林电子科技大学,Guilin University of Electronic Technology,18.38
2025,2025RMUC,RMUC,9,西安交通大学,Xi'an Jiaotong University,18.26
2025,2025RMUC,RMUC,10,南昌大学,Nanchang University,17.84
2025,2025RMUC,RMUC,11,广东工业大学,Guangdong University of Technology,17.5
2025,2025RMUC,RMUC,12,哈尔滨工业大学,Harbin Institute of Technology,17.36
2025,2025RMUC,RMUC,13,上海工程技术大学,Shanghai University Of Engineering Science,16.76
2025,2025RMUC,RMUC,14,南方科技大学,Southern University of Science and Technology,16.6
2025,2025RMUC,RMUC,15,中国石油大学（华东）,China University of Petroleum (East China),16.26
2025,2025RMUC,RMUC,16,哈尔滨工业大学（深圳）,Harbin Institute of Technology (Shenzhen),15.98
2025,2025RMUC,RMUC,17,太原理工大学,Taiyuan University of Technology,15.78
2025,2025RMUC,RMUC,18,西安电子科技大学,Xidian University,15.54
2025,2025RMUC,RMUC,19,五邑大学,Wuyi University,15.52
2025,2025RMUC,RMUC,20,桂林信息科技学院,Guilin Institute of Information Technology,15.24
2025,2025RMUC,RMUC,21,太原科技大学,Taiyuan University of Science and Technology,15.04
2025,2025RMUC,RMUC,22,哈尔滨工业大学（威海）,Harbin Institute of Technology (Weihai),15.02
2025,2025RMUC,RMUC,23,太原工业学院,Taiyuan Institute of Technology,14.81
2025,2025RMUC,RMUC,24,东南大学,Southeast University,14.46
2025,2025RMUC,RMUC,25,华中科技大学,Huazhong University of Science and Technology,14.42
2025,2025RMUC,RMUC,26,电子科技大学中山学院,Zhongshan College of University of Electronic Science and Technology of China,14.28
2025,2025RMUC,RMUC,27,中南大学,Central South University,13.64
2025,2025RMUC,RMUC,28,北京理工大学,Beijing Institute of Technology,13.4
